ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.144,0.154,9.635,-0.039,0.043,9.806,-0.106,0.112,-0.026,-0.2,-5.1,0.0,1.179,37.9,-30.8,23.3,225.4,0.3,75.9,53.55,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,11504,2015-09-28 13:47:46:498
-0.17,0.156,9.763,-0.05,0.05,9.806,-0.121,0.107,0.091,-0.3,-3.8,0.0,0.842,38.0,-30.7,23.0,225.6,0.3,75.5,53.55,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,11604,2015-09-28 13:47:46:598
0.194,-0.047,9.643,0.036,-0.013,9.807,0.158,-0.034,-0.018,-0.3,2.8,-0.8,1.263,38.4,-31.1,22.9,225.5,0.4,75.5,32.71,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,11704,2015-09-28 13:47:46:698
0.089,-0.066,9.724,0.019,-0.012,9.807,0.07,-0.054,0.056,-0.1,-0.9,0.1,1.263,38.6,-30.9,22.7,225.6,0.5,75.7,32.71,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,11805,2015-09-28 13:47:46:799
-0.08,0.12,9.648,-0.033,0.045,9.806,-0.048,0.076,-0.031,-0.4,-2.0,-1.1,1.6,39.1,-30.5,22.4,225.1,0.5,75.0,32.71,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,11905,2015-09-28 13:47:46:899
0.077,-0.031,9.645,0.02,0.0,9.807,0.058,-0.03,-0.031,-0.2,3.1,-0.8,1.432,38.9,-30.5,22.5,225.0,0.5,75.1,29.77,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,12004,2015-09-28 13:47:46:998
0.122,-0.037,9.629,0.044,-0.024,9.807,0.078,-0.014,-0.036,-0.4,3.3,-1.6,1.432,38.7,-30.5,22.9,226.5,0.6,75.7,29.77,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,12104,2015-09-28 13:47:47:098
0.002,-0.007,9.693,0.018,-0.006,9.807,-0.015,-0.001,0.025,-0.1,-0.2,-0.1,1.347,39.0,-30.5,22.9,225.5,0.7,75.8,29.77,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,12204,2015-09-28 13:47:47:198
-0.114,0.087,9.732,-0.027,0.02,9.807,-0.087,0.067,0.059,-0.3,-1.7,-0.1,1.516,38.7,-30.8,23.0,225.7,0.6,75.4,34.19,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,12304,2015-09-28 13:47:47:298
0.109,-0.013,9.639,0.016,0.003,9.807,0.094,-0.016,-0.031,-0.3,1.6,-0.9,1.516,38.7,-30.9,22.9,225.6,0.7,75.5,34.19,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,12404,2015-09-28 13:47:47:398
0.015,0.018,9.717,0.005,0.002,9.807,0.009,0.016,0.044,-0.3,-0.7,-0.5,1.516,38.6,-30.8,22.9,225.5,0.7,75.7,34.19,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,12504,2015-09-28 13:47:47:498
-0.067,0.043,9.684,-0.015,0.019,9.807,-0.052,0.025,0.01,-0.3,-2.4,-0.2,1.516,38.7,-30.9,22.7,225.6,0.7,75.5,31.5,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,12605,2015-09-28 13:47:47:599
-0.077,0.007,9.664,-0.003,0.0,9.807,-0.074,0.007,-0.008,-0.2,1.9,-0.6,1.684,38.6,-31.0,22.7,225.6,0.7,75.5,31.5,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,12704,2015-09-28 13:47:47:698
0.108,0.009,9.64,0.042,-0.017,9.807,0.066,0.026,-0.028,-0.2,4.7,-1.0,1.347,38.5,-31.0,22.9,225.4,0.8,75.7,31.5,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,12804,2015-09-28 13:47:47:798
-0.004,-0.059,9.657,0.044,-0.05,9.806,-0.048,-0.011,-0.022,-0.1,5.9,0.1,1.347,38.3,-30.8,23.1,224.8,0.8,76.5,31.5,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,12904,2015-09-28 13:47:47:898
0.133,-0.207,9.685,0.063,-0.07,9.806,0.07,-0.138,0.006,-0.2,7.3,-0.2,1.432,38.2,-31.0,23.4,224.6,0.8,77.0,38.22,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,13004,2015-09-28 13:47:47:998
0.163,-0.212,9.72,0.064,-0.065,9.806,0.1,-0.148,0.038,-0.2,5.4,-0.2,1.347,38.4,-31.0,23.9,224.9,0.8,78.1,38.22,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,13104,2015-09-28 13:47:48:098
0.032,-0.057,9.644,0.046,-0.046,9.806,-0.013,-0.012,-0.034,-0.2,6.1,0.0,1.347,38.3,-30.9,24.2,224.7,0.8,78.5,38.22,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,13205,2015-09-28 13:47:48:199
-0.002,-0.179,9.752,0.031,-0.061,9.806,-0.033,-0.119,0.076,0.0,3.7,0.9,1.011,38.2,-30.9,24.9,225.2,0.6,79.4,42.94,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,13305,2015-09-28 13:47:48:299
-0.021,-0.086,9.688,0.019,-0.038,9.807,-0.04,-0.049,0.011,-0.2,3.3,0.0,1.432,37.9,-31.1,25.1,225.1,0.6,79.6,42.94,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,13405,2015-09-28 13:47:48:399
-0.03,-0.022,9.7,0.025,-0.019,9.807,-0.055,-0.003,0.03,-0.2,2.6,-0.3,1.011,37.4,-31.0,25.5,224.7,0.7,80.0,42.94,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,13505,2015-09-28 13:47:48:499
0.017,0.019,9.753,0.021,-0.014,9.807,-0.004,0.033,0.074,-0.2,2.3,0.0,1.011,37.1,-31.0,25.9,225.5,0.7,80.2,40.3,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,13604,2015-09-28 13:47:48:598
-0.009,-0.038,9.658,0.038,-0.044,9.806,-0.047,0.005,-0.018,-0.2,6.4,0.2,1.347,36.5,-31.2,26.6,226.1,0.7,80.7,40.3,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,13704,2015-09-28 13:47:48:698
0.111,-0.09,9.627,0.058,-0.057,9.806,0.054,-0.034,-0.043,-0.3,6.5,-0.2,1.179,36.3,-31.3,26.9,225.7,0.7,81.2,40.3,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,13804,2015-09-28 13:47:48:798
0.009,0.029,9.641,0.007,0.002,9.807,0.002,0.027,-0.024,-0.2,-2.2,-0.1,1.011,36.1,-31.1,27.4,225.5,0.8,81.5,37.48,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,13905,2015-09-28 13:47:48:899
