ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
-6.041,0.325,7.805,-6.33,0.324,7.483,0.259,0.003,0.357,-13.9,25,15.5,13.895,75.5,13.6,-58.5,310.7,-1.9,40.2,56.33
-6.669,0.454,7.231,-6.753,0.303,7.104,0.055,0.152,0.158,-18.3,24.8,20.6,13.895,77,12.7,-57.4,313.9,-1.8,43.5,56.33
-6.967,0.354,6.736,-6.962,0.314,6.9,-0.036,0.041,-0.133,-18.7,28.1,20.8,11.284,77.7,11.9,-56.8,316.2,-1.8,45.3,60.55
-7.176,0.335,6.194,-7.378,0.347,6.451,0.166,-0.01,-0.226,-18.5,25.5,20.7,10.442,78.8,10.7,-55.9,325.7,-2,48.8,60.55
-7.512,0.632,6.16,-7.561,0.394,6.233,0.012,0.24,-0.042,-19.5,26.8,22.5,9.432,79.3,9.8,-55.4,330.6,-2.3,50.5,60.55
-7.843,0.554,5.491,-7.946,0.439,5.731,0.06,0.117,-0.208,-22.1,28.1,19,9.432,79.7,7.9,-52.9,342.8,-2.6,54.2,60.55
-7.516,0.528,5.329,-8.106,0.464,5.5,0.539,0.066,-0.136,-21.4,24.6,17.7,8.168,80.4,6.8,-53.1,354.8,-2.7,55.8,64.76
-8.471,0.475,5.279,-8.393,0.487,5.049,-0.129,-0.009,0.262,-21.9,23.3,12.7,7.326,81.8,4.9,-53.2,17.7,-2.8,59,64.76
-8.262,0.575,5.213,-8.536,0.479,4.805,0.222,0.1,0.437,-27.6,30.7,15,6.4,82.2,3.5,-52.3,30.3,-2.8,60.6,64.76
-8.79,0.342,3.72,-8.9,0.358,4.102,0.05,-0.013,-0.353,-44.3,32.6,16.2,6.4,82.5,0.8,-50.9,69.5,-2.1,65.3,70.83
