ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.06,-0.122,9.783,0.119,-0.145,9.805,-0.058,0.023,0.001,0.1,-0.4,0.9,23.663,-2.2,-0.5,-85.8,143.1,0.9,-0.7,44.86
0.065,-0.179,9.786,0.106,-0.146,9.805,-0.041,-0.034,0.006,0,-0.4,-0.8,23.747,-2.2,-0.5,-85.1,154.5,0.9,-0.6,44.86
0.075,-0.148,9.714,0.107,-0.146,9.805,-0.032,-0.003,-0.058,0,-0.4,-0.1,23.495,-2.2,-0.5,-84.9,154.7,0.9,-0.6,45
0.108,-0.129,9.793,0.118,-0.149,9.805,-0.01,0.019,0.019,0.1,-0.4,0.5,23.495,-2.2,-0.7,-84.5,156.5,0.9,-0.7,45
0.132,-0.153,9.793,0.124,-0.149,9.805,0.008,-0.005,0.017,0,-0.4,0.2,23.832,-2.5,-0.9,-84.1,157.5,0.9,-0.7,45
-0.075,-0.113,9.719,0.101,-0.143,9.805,-0.176,0.029,-0.043,0.1,-0.5,-2,23.832,-2.3,-1.2,-83.5,152.9,0.8,-0.6,44.25
0.077,-0.177,9.793,0.103,-0.146,9.805,-0.026,-0.031,0.027,-0.2,-0.4,-1.7,24,-2.1,-1.3,-83.5,153.3,0.9,-0.6,44.25
0.077,-0.16,9.74,0.115,-0.15,9.805,-0.038,-0.011,-0.026,0,-0.5,2,24,-2,-1.3,-83.1,155.7,0.9,-0.7,44.25
0.036,-0.141,9.747,0.111,-0.149,9.805,-0.074,0.008,-0.017,0,-0.5,1.9,24.168,-2.1,-1.1,-82.9,154.9,0.9,-0.6,44.25
0.101,-0.127,9.728,0.114,-0.144,9.805,-0.013,0.016,-0.02,0,-0.3,0.2,23.916,-1.6,-1.5,-83.2,155,0.8,-0.7,44.74
0.117,-0.122,9.757,0.119,-0.141,9.805,-0.001,0.018,0.008,0.1,-0.5,-0.7,24,-1.4,-1.6,-83.5,180.1,0.8,-0.7,44.74
0.065,-0.153,9.824,0.132,-0.138,9.805,-0.067,-0.016,0.069,0,-0.6,-0.1,24,-1.4,-2.4,-84,182.4,0.8,-0.8,44.74
-0.009,-0.096,9.705,0.122,-0.133,9.805,-0.13,0.037,-0.044,0,-0.4,0.1,24.421,-1.5,-2.8,-84.5,180.8,0.8,-0.7,46.62
0.167,-0.167,9.669,0.133,-0.141,9.805,0.035,-0.027,-0.07,0.1,-0.5,0.6,24.253,-1.7,-3.5,-85.3,170.8,0.8,-0.8,46.62
0.148,-0.146,9.807,0.139,-0.141,9.805,0.01,-0.006,0.061,0,-0.4,1.5,24.253,-2.3,-4,-85.6,171.6,0.8,-0.8,46.62
0.174,-0.113,9.838,0.147,-0.14,9.805,0.028,0.027,0.078,0,-0.4,0.4,24.421,-4.2,-4,-85.4,152.4,0.8,-0.9,45.25
0.105,-0.153,9.714,0.147,-0.141,9.805,-0.04,-0.012,-0.041,0,-0.5,0.6,24.505,-4.8,-3.9,-85.4,144.5,0.8,-0.9,45.25
0.079,-0.144,9.733,0.139,-0.14,9.805,-0.059,-0.004,-0.021,0,-0.4,1,24.674,-6.5,-3.5,-84.1,131.1,0.8,-0.8,45.25
0.122,-0.141,9.759,0.141,-0.14,9.805,-0.019,-0.002,0.004,0.1,-0.4,0.4,24.674,-7,-2.9,-83.3,125.8,0.8,-0.8,45.18
0.191,-0.146,9.759,0.157,-0.139,9.804,0.035,-0.008,0.003,0,-0.5,0.3,24.505,-7.9,-2.3,-81.8,115.3,0.8,-0.9,45.18
0.139,-0.117,9.719,0.16,-0.136,9.804,-0.021,0.018,-0.033,0.1,-0.5,0.6,24.674,-8.1,-1.7,-80.9,115.1,0.8,-0.9,45.18
0.115,-0.101,9.7,0.16,-0.133,9.804,-0.044,0.032,-0.046,0,-0.5,0.5,24.758,-8.5,-0.9,-78.5,107,0.8,-0.9,45.18
0.086,-0.096,9.774,0.156,-0.129,9.805,-0.069,0.032,0.025,0,-0.4,0.7,24.758,-8.5,-0.6,-77.7,104.7,0.8,-0.9,45.81
0.184,-0.141,9.814,0.173,-0.136,9.804,0.012,-0.006,0.058,0.1,-0.5,0.8,24.758,-8.4,0.2,-75.1,98.9,0.8,-1,45.81
0.065,-0.117,9.771,0.166,-0.133,9.804,-0.1,0.015,0.013,0,-0.5,1.2,24.758,-8.3,0.6,-74,90.1,0.8,-1,45.81
0.077,-0.101,9.819,0.154,-0.129,9.805,-0.076,0.027,0.051,0,-0.5,-0.4,24.758,-8,1.2,-72.1,89.6,0.8,-0.9,45.74
0.108,-0.141,9.75,0.154,-0.13,9.805,-0.046,-0.011,-0.016,0,-0.5,-0.3,24.842,-7.9,1.7,-71.4,81.3,0.8,-0.9,45.74
0.122,-0.115,9.783,0.156,-0.13,9.805,-0.033,0.014,0.021,0,-0.4,0.2,24.842,-7.3,2.2,-69.9,79.7,0.8,-0.9,45.74
0.253,-0.139,9.802,0.171,-0.13,9.804,0.082,-0.009,0.036,0.1,-0.4,-0.3,25.179,-7.1,2.5,-69.4,79.4,0.8,-1,45.7
0.096,-0.127,9.719,0.169,-0.135,9.804,-0.072,0.007,-0.041,0,-0.5,0.4,25.179,-7,2.9,-68.6,70.6,0.8,-1,45.7
0.082,-0.167,9.733,0.164,-0.139,9.804,-0.081,-0.029,-0.024,0,-0.4,1.4,25.179,-6.7,3.1,-67.9,70.9,0.8,-1,45.7
0.094,-0.113,9.8,0.162,-0.139,9.804,-0.067,0.025,0.043,0,-0.4,2.2,25.263,-6.5,3.2,-66.9,67.3,0.8,-0.9,45.83
0.167,-0.177,9.8,0.167,-0.143,9.804,0.002,-0.034,0.038,0,-0.4,1.7,25.347,-6.1,3.5,-66.5,67.4,0.8,-1,45.83
0.113,-0.146,9.764,0.158,-0.145,9.804,-0.045,-0.002,0.006,-0.1,-0.4,1.3,25.347,-6.1,3.6,-65.9,58.4,0.8,-0.9,45.83
0.067,-0.122,9.745,0.152,-0.143,9.804,-0.084,0.02,-0.012,0,-0.4,1.1,25.432,-5.9,3.4,-65.4,67.7,0.8,-0.9,45.83
0.113,-0.141,9.821,0.159,-0.14,9.804,-0.045,-0.001,0.057,0,-0.6,0.5,25.432,-5.8,3.5,-65,67.3,0.8,-0.9,45.09
0.115,-0.134,9.759,0.159,-0.14,9.804,-0.043,0.005,-0.004,0,-0.4,0.5,25.432,-6,3.3,-64.8,67.3,0.8,-0.9,45.09
0.172,-0.167,9.714,0.166,-0.145,9.804,0.007,-0.023,-0.049,0.1,-0.4,-1.2,25.432,-5.6,3.5,-64.6,58.3,0.8,-0.9,45.09
0.158,-0.113,9.75,0.169,-0.14,9.804,-0.011,0.027,-0.012,0.1,-0.4,-0.5,25.432,-6.1,3.8,-64.6,57.8,0.8,-1,43.25
0.125,-0.094,9.769,0.166,-0.135,9.804,-0.04,0.041,0.015,0,-0.4,1.3,25.516,-6.2,4,-64.4,57.9,0.8,-1,43.25
0.165,-0.141,9.783,0.17,-0.135,9.804,-0.004,-0.007,0.026,0,-0.5,2,25.516,-6.6,4,-64.2,62.1,0.8,-1,43.25
0.232,-0.115,9.797,0.182,-0.136,9.804,0.051,0.02,0.033,0,-0.4,2.3,25.516,-6.8,4,-64.1,62.2,0.8,-1,41.7
0.248,-0.108,9.816,0.192,-0.133,9.804,0.057,0.024,0.046,0,-0.4,2.5,25.853,-7.4,4.2,-64,61.4,0.8,-1.1,41.7
0.203,-0.144,9.769,0.197,-0.134,9.804,0.007,-0.01,-0.001,0,-0.4,2.4,25.853,-7.6,4.3,-63.9,65,0.8,-1.2,41.7
0.241,-0.136,9.807,0.207,-0.139,9.803,0.035,0.002,0.031,0,-0.4,4.1,25.853,-8,4.5,-63.7,65.1,0.8,-1.2,43.78
0.053,-0.136,9.733,0.189,-0.134,9.804,-0.135,-0.003,-0.039,0,-0.4,6.8,25.684,-8.2,4.9,-63.5,58.2,0.8,-1.2,43.78
0.089,-0.106,9.709,0.181,-0.132,9.804,-0.091,0.026,-0.056,0,-0.4,6.4,25.937,-8.8,5.5,-63,62.1,0.8,-1.1,43.78
0.191,-0.139,9.809,0.185,-0.134,9.804,0.007,-0.006,0.039,0,-0.3,6.4,25.937,-9,5.6,-62.9,56.7,0.8,-1.1,43.78
0.336,-0.163,9.762,0.202,-0.135,9.804,0.135,-0.028,-0.006,0,-0.4,5.7,25.853,-9.2,6.1,-62.2,56.3,0.8,-1.2,43.16
0.098,-0.144,9.738,0.193,-0.138,9.804,-0.094,-0.007,-0.027,-0.1,-0.3,8.1,26.021,-9.5,6.1,-61.8,56.6,0.8,-1.1,43.16
0.224,-0.158,9.686,0.19,-0.145,9.804,0.036,-0.014,-0.072,-0.1,-0.3,5.8,25.6,-10.1,6.5,-60.9,60,0.8,-1.1,43.16
