ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.054,0.146,9.801,0.003,0.026,9.807,0.051,0.12,0.025,-1.1,0.3,-0.1,8.337,-57.1,-206.4,480.9,152.9,2,-4.8,30.29
-0.044,-0.087,9.883,-0.007,0,9.807,-0.037,-0.087,0.095,-0.8,0.2,-0.1,8.337,-56.9,-206.6,480.7,152.9,2.1,-4.8,31.51
0.073,-0.066,9.802,0.009,-0.004,9.807,0.064,-0.062,0.004,-0.2,0.2,0,8.337,-56.7,-206.5,480.3,152.8,2,-4.8,31.51
-0.019,0.015,9.83,-0.002,0.004,9.807,-0.017,0.011,0.029,-0.1,0.1,0,8.168,-56.7,-206.3,480.4,152.8,2.1,-4.8,31.51
-0.111,0.145,9.529,-0.011,0.018,9.807,-0.1,0.128,-0.235,-0.1,0.2,0,8.253,-56.9,-206.3,480.4,152.8,2.2,-4.8,31.51
-0.007,-0.112,9.629,0,-0.012,9.807,-0.007,-0.1,-0.12,0.1,0.1,0,8.253,-56.7,-206.3,480.5,152.8,2.1,-4.8,33.26
0.151,0.036,9.897,0.015,0.002,9.807,0.136,0.033,0.115,0,-0.5,-0.2,8.253,-56.8,-206.2,480.5,152.8,2.2,-4.7,33.26
-0.012,-0.021,9.507,-0.005,-0.004,9.807,-0.007,-0.016,-0.244,0,-0.3,-0.1,8.084,-56.9,-206.2,480.5,152.7,2.2,-4.7,33.26
0.059,0.006,9.78,0.002,-0.004,9.807,0.057,0.01,0.012,0.1,-0.4,0,8.084,-57.1,-206.3,480.7,152.5,2.2,-4.9,31.66
-0.008,0.012,9.822,-0.008,-0.004,9.807,0,0.016,0.048,0.1,-1.3,-0.4,8.084,-57.1,-206.2,480.4,152.4,2.2,-4.9,31.66
0,-0.015,9.85,-0.008,-0.011,9.807,0.008,-0.003,0.048,0.2,-0.2,-0.2,8.084,-57.2,-206,480.2,152.1,2.1,-5.1,31.66
-0.091,0.101,9.72,-0.008,0.009,9.807,-0.083,0.092,-0.073,0.4,0.4,0.1,8.168,-57.1,-206,480.2,152,2.2,-5.1,30.44
-0.093,-0.231,9.648,-0.007,-0.02,9.807,-0.086,-0.211,-0.127,-0.9,1.5,0.2,8.253,-57.1,-206.2,480.4,151.8,2.2,-5.3,30.44
0.213,-0.027,9.897,0.033,0.011,9.807,0.18,-0.037,0.108,-0.6,1.4,0.1,8.253,-57.1,-206.2,480.2,152.2,2.1,-5.1,30.44
-0.003,0.015,9.962,0.005,0.008,9.807,-0.008,0.007,0.132,-0.4,0.3,0.2,8.084,-56.9,-206.5,480.4,152.7,2.3,-4.8,30.44
-0.069,0.05,10.095,-0.008,0.01,9.807,-0.061,0.04,0.235,-0.4,0.1,0,8.084,-56.7,-206.6,480.3,152.6,2.3,-4.8,37.27
-0.023,-0.01,9.459,-0.003,0.002,9.807,-0.02,-0.012,-0.332,0,0,-0.1,8.084,-56.8,-206.6,480.4,152.4,2.5,-4.9,37.27
-0.113,0.053,9.181,-0.012,0.005,9.807,-0.101,0.047,-0.542,0.2,0.1,-0.1,8.337,-56.9,-206.5,480.5,152.1,2.6,-4.9,37.27
0.067,-0.007,9.807,0.01,-0.005,9.807,0.057,-0.003,0.073,0.4,0.2,0.2,8.337,-56.6,-206.3,480.8,152.4,2.4,-4.8,32.85
0.1,0.047,10.027,0.016,0.001,9.807,0.084,0.047,0.261,0.9,0.2,0.3,8.168,-56.5,-206.3,480.8,152.8,2.3,-4.8,32.85
0.054,-0.103,9.721,0.011,-0.015,9.807,0.043,-0.088,-0.058,0.6,0.5,0,8.168,-56.6,-206.1,480.6,152.9,2.1,-4.7,32.85
-0.002,-0.075,9.948,0.017,-0.015,9.807,-0.02,-0.06,0.15,2.2,1.9,0,8.337,-56.5,-206,480.5,153.4,2,-4.7,32.13
-0.319,-0.492,10.038,-0.026,-0.082,9.806,-0.292,-0.41,0.189,5.2,-0.1,-0.5,8.253,-56.7,-206.4,480.8,153,1.5,-5,32.13
