ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.222,-0.094,9.831,0.213,-0.086,9.804,0.01,-0.008,0.046,0,0,0,6.653,11.5,193.9,-472.3,353.6,0.5,-1.2,38.42
0.22,-0.067,9.786,0.21,-0.082,9.804,0.01,0.015,0.006,0,0.1,0,6.737,11.4,193.8,-472.4,353.7,0.5,-1.2,38.42
0.186,-0.063,9.721,0.207,-0.08,9.804,-0.02,0.017,-0.052,0,0.1,0,6.568,11.7,193.8,-472.4,353.4,0.5,-1.2,38.42
0.222,-0.046,9.79,0.206,-0.074,9.804,0.017,0.028,0.018,0,0,-0.1,6.484,11.5,193.7,-472.4,353.4,0.5,-1.2,37.8
0.224,-0.106,9.757,0.208,-0.077,9.804,0.017,-0.028,-0.014,0.1,0.1,0,6.484,11.5,193.7,-472.6,353.7,0.5,-1.2,37.8
0.194,-0.084,9.816,0.205,-0.077,9.804,-0.011,-0.007,0.043,0,0,0,6.4,11.5,193.7,-472.7,353.4,0.5,-1.2,37.8
0.22,-0.072,9.774,0.206,-0.077,9.804,0.014,0.004,0,0,0.1,-0.1,6.4,11.4,193.9,-472.4,353.7,0.4,-1.2,38.66
0.22,-0.086,9.762,0.207,-0.075,9.804,0.013,-0.012,-0.009,0,0,0,6.4,11.4,194.1,-472.3,353.7,0.4,-1.2,38.66
0.194,-0.103,9.809,0.205,-0.078,9.804,-0.011,-0.025,0.034,0,0,-0.1,6.4,11.4,194.2,-472.3,353.7,0.5,-1.2,38.66
0.229,-0.075,9.755,0.202,-0.078,9.804,0.028,0.003,-0.017,0,0,0,6.737,11.5,194,-472.1,353.5,0.5,-1.2,38.66
0.239,-0.082,9.762,0.206,-0.078,9.804,0.033,-0.004,-0.009,0,0,-0.1,6.568,11.7,194,-471.7,353.4,0.5,-1.2,38.24
0.227,-0.058,9.759,0.209,-0.076,9.804,0.018,0.018,-0.008,0,0,-0.1,6.568,11.7,193.8,-471.8,353.4,0.5,-1.2,38.24
0.21,-0.063,9.721,0.209,-0.074,9.804,0.002,0.011,-0.041,0,0,-0.1,6.484,11.5,193.6,-472.3,353.4,0.4,-1.2,38.24
